id,name,markers,location,meaning,tagline,timestamp
378,Bistonis,"[""Nymph""]","Bistonia, Thrace","""???""",,2026-03-19 19:08:32.115927+00
379,Tereus,"[""Demigod""]",Thrace,"""to guard, to pierce""",King of Thrace | fathered Itys with Procne; son of Ares and Bistonis; brother of Dryas; half-brother of Penthesilea and Hippolyta,2026-03-19 19:08:32.115927+00
380,Dryas,[],Thrace,"""oak""",Prince of Thrace / son of Ares and Bistonis; brother of Tereus; half-brother of Penthesilea and Hippolyta,2026-03-19 19:08:32.115927+00
381,Itys,[],Thrace,"""sorrow""",Prince of Thrace | son of Procne and Tereus,2026-03-19 19:08:32.115927+00
382,Procne,[],"Athens, Attica","""dark-spotted""","Queen of Thrace | mothered Itys with Tereus; daughter of Pandion and Zeuxippe; sister of Butes, Erechtheus, and Philomela",2026-03-19 19:08:32.115927+00
383,Aesacus,"[""Seer""]",,"""???""",,2026-03-19 19:08:32.115927+00
384,Erechtheus,[],"Athens, Attica","""earthshaker""",,2026-03-19 19:08:32.115927+00
385,Butes,"[""Prophet""]","Athens, Attica","""herdsman""",,2026-03-19 19:08:32.115927+00
386,Philomela,[],"Athens, Attica","""lover of song""","Princess of Athens | daughter of Pandion and Zeuxippe; sister of Butes, Erechtheus, and Procne",2026-03-19 19:08:32.115927+00
387,Pandion,[],"Athens, Attica","""all divine""","King of Athens | fathered Butes, Erechtheus, Philomela, and Procne, with Zeuxippe",2026-03-19 19:08:32.115927+00
388,Zeuxippe,"[""Nymph""]","""Athens, Attica""","""horse saddler""",,2026-03-19 19:08:32.115927+00
409,Heracles,"[""Demigod""]","Thebes, Boeotia",,"fathered Tlepolemus with Astyoche (Ephyra); son of Zeus and Alcmene; half-brother of Aphrodite, Apollo, Artemis, Ares, Athena, Hephaestus, and Sarpedon",2026-03-19 19:08:32.115927+00
411,Thestius,[],"Pleuron, Aetolia",,"King of Pleuron | fathered Althaea, Leda, Plexippus, and Toxeus with Eurythemis",2026-03-19 19:08:32.115927+00
413,Leda,[],"Pleuron, Aetolia",,"Queen of Sparta | mothered Clytemnestra and Castor with Tyndareus; mothered Helen and Pollux with Zeus; daughter of Eurythemis and Thestius; sister of Althaea, Plexippus, and Toxeus",2026-03-19 19:08:32.115927+00
414,Oeonus,[],"Mycenae, Argolis",,Noble of Mycenae | son of Licymnius,2026-03-19 19:08:32.115927+00
452,Arisbe,[],"Percote, Troad",,,2026-03-19 19:08:32.115927+00
456,Antinous,[],"Ithaca, Ionian Islands",,,2026-03-19 19:08:32.115927+00
458,Halitherses,"[""Seer"",""Prophet""]","Ithaca, Ionian Islands",,,2026-03-19 19:08:32.115927+00
460,Polycaste,[],"Pylos, Messenia",,"Princess of Pylos | daughter of Eurydice and Nestor; sister of Antilochus, Peisistratus, and Thrasymedes",2026-03-19 19:08:32.115927+00
461,Peisistratus,[],"Pylos, Messenia",,"Prince of Pylos | son of Eurydice and Nestor; brother of Antilochus, Polycaste, and Thrasymedes",2026-03-19 19:08:32.115927+00
464,Eurymachus,[],"Ithaca, Ionian Islands",,,2026-03-19 19:08:32.115927+00
465,Medon (Ithaca),[],"Ithaca, Ionian Islands",,,2026-03-19 19:08:32.115927+00
467,Hermes,"[""Deity""]",Mount Olympus,,"deity of messages and boundaries | son of Zeus and Maia; half-brother of Aphrodite, Apollo, Ares, Artemis, Athena, Hephaestus, Heracles, and Sarpedon",2026-03-19 19:08:32.115927+00
469,Calypso,"[""Nymph""]",Ogygia,,,2026-03-19 19:08:32.115927+00
471,Ino,"[""Deity""]","Thebes, Boeotia",,princess-turned-deity of protection at sea | daughter of Cadmus and Harmonia,2026-03-19 19:08:32.115927+00
472,Nausicaa,[],Phaeacia,,Princess of Phaeacia | daughter of Alcinous and Arete,2026-03-19 19:08:32.115927+00
473,Alcinous,[],Phaeacia,,King of Phaeacia | fathered Nausicaa with Arete,2026-03-19 19:08:32.115927+00
474,Arete,[],Phaeacia,,Queen of Phaeacia | mothered Nausicaa with Alcinous,2026-03-19 19:08:32.115927+00
475,Broadsea,[],Phaeacia,,,2026-03-19 19:08:32.115927+00
476,Polyphemus,[],,,cyclops | son of Poseidon and Thoosa,2026-03-19 19:08:32.115927+00
477,Aeolus,[],,,,2026-03-19 19:08:32.115927+00
478,Circe,"[""Nymph""]",Aeaea,,,2026-03-19 19:08:32.115927+00
480,Scylla,[],,,,2026-03-19 19:08:32.115927+00
481,Laodamas,[],Phaeacia,,Prince of Phaeacia | son of Alcinous and Arete; brother of Nausicaa,2026-03-19 19:08:32.115927+00
482,Eumaeus,[],"Syros, Cyclades",,,2026-03-19 19:08:32.115927+00
483,Theoclymenus,"[""Seer"",""Prophet""]","Argos, Argolis",,,2026-03-19 19:08:32.115927+00
484,Amphinomus,[],,,,2026-03-19 19:08:32.115927+00
485,Ctesippus,[],,,,2026-03-19 19:08:32.115927+00
487,Thersites,[],"Calydon, Aetolia",,Prince of Calydon | son of Agrius and Dia,2026-03-19 19:08:32.115927+00
489,Eos,"[""Deity""]",the sky,,deity of dawn | mothered Memnon with Tithonus; sister of Helios and Selene,2026-03-19 19:08:32.115927+00
